doc_id,actual,publisher,word_count,document_count,publisher_type,item_count,item_per_user,document_age
politifact608,0,youtube.com,27,28,exist,14,1.166666667,39911.5
politifact968,0,politico.com,0,5,exist,2626,1.154285714,25847.76
politifact1014,0,politico.com,200,5,exist,3,1,26286.7
politifact1185,0,popularmechanics.com,27,1,exist,20,1.052631579,33.76
politifact5237,0,politifact.com,818,23,exist,15,1.25,7668.32
politifact6519,0,youtube.com,91,28,exist,18,1,152.58
politifact8470,0,sotu.blogs.cnn.com,59,2,exist,82,1.037974684,84148.9
politifact11115,0,nytimes.com,287,19,exist,1249,1.087979094,26708.19
politifact12104,0,medium.com,737,6,exist,27377,1.184536172,4558.8
politifact15133,0,c-span.org,94,3,exist,431,1.394822006,21187.76
politifact14587,1,facebook.com,7,6,exist,35,1.09375,26926.96
politifact14386,1,nbcnews.com,546,5,exist,117,1.03539823,915.08
politifact14503,1,yournewswire.com,437,14,exist,42,1.105263158,3481.45
politifact14694,1,usacarry.com,259,3,exist,22,1,66.35
politifact15402,1,facebook.com,10,6,exist,4,1,15358.07
politifact15191,1,foxnews.com,371,7,exist,751,1.054775281,3473.48
politifact15307,1,newsfeedusa.us,319,1,new,44,1.0731707317073171,5295.16
